"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","商品问答","效果怎么样？","0","0","1","0","0"
"","商品问答","有什么注意事项？","0","0","1","0","0"
"","商品问答","如何使用？","0","0","1","0","0"
"","商品问答","成分发一下？","0","0","1","0","0"
"","商品问答","都有什么味道？","0","0","1","0","0"
"","多轮对话","咨询洗发水","0","1","0","0","0"
"","多轮对话","商品链接咨询","0","0","1","0","0"
"","商品问答","保质期多久？","0","0","1","0","0"
"","商品问答","可以用多长时间？","0","0","1","0","0"
"","商品问答","都有什么卖点？","0","0","1","0","0"
"","商品问答","质检报告发一下？","0","0","1","0","0"
"","商品问答","都有什么规格？","0","0","1","0","0"
"","商品问答","适合什么人群？","0","0","1","0","0"
"","商品问答","什么材质的？","0","0","1","0","0"
"","商品问答","孕妇可以用吗？","0","0","1","0","0"
"","商品问答","使用哪个部位？","0","0","1","0","0"
"","商品问答","如何打开？","0","0","1","0","0"
"","商品问答","是正品吗？","0","0","1","0","0"
